YEAR,DOY,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M,QV2M,WS2M
2010,1,4.57,11.52,3.6,7.29,6.16,2.19
2010,2,0.0,18.19,2.47,8.85,4.64,1.84
2010,3,0.0,18.26,5.99,10.65,5.62,1.88
2010,4,9.96,14.15,6.51,9.49,6.29,4.7
2010,5,17.88,9.74,6.6,7.98,6.9,5.47
2010,6,8.59,11.55,6.76,8.63,7.08,3.43
2010,7,52.5,8.99,4.12,6.66,6.53,5.21
2010,8,12.58,4.51,-3.22,1.76,4.39,3.46
2010,9,0.5,6.6,-4.21,0.2,3.48,1.84
2010,10,12.75,7.34,-1.67,3.93,4.76,3.9
2010,11,4.8,9.63,5.37,7.41,6.65,3.49
2010,12,1.4,13.74,3.4,8.0,5.62,3.36
2010,13,6.57,13.7,7.03,10.23,7.81,4.48
2010,14,14.72,11.93,3.88,9.53,7.87,3.35
2010,15,0.01,19.15,3.43,10.28,3.97,1.22
2010,16,0.0,20.99,6.19,11.74,4.88,1.53
2010,17,0.0,21.82,7.0,12.53,5.55,1.68
2010,18,0.0,20.49,8.84,13.1,6.1,1.95
2010,19,0.0,18.06,7.34,11.7,5.86,1.43
2010,20,0.01,16.01,6.27,10.08,6.71,1.17
2010,21,0.0,17.41,5.09,9.87,5.62,1.23
2010,22,0.0,18.43,5.43,10.63,5.0,1.23
2010,23,9.39,10.69,6.31,8.09,6.59,4.51
2010,24,26.31,9.23,5.55,7.21,6.59,3.13
2010,25,12.2,9.42,4.36,6.49,5.8,0.86
2010,26,5.08,8.15,2.44,5.28,5.55,2.05
2010,27,1.64,6.2,1.2,3.35,4.82,0.97
2010,28,0.42,13.43,-0.78,5.33,4.88,1.58
2010,29,0.45,11.63,1.25,6.34,5.31,2.08
2010,30,0.88,12.01,3.08,6.66,5.62,1.71
2010,31,2.64,11.86,1.77,6.66,5.0,1.09
2010,32,2.38,12.94,5.26,8.65,7.08,1.19
2010,33,0.35,17.58,6.21,11.22,7.51,1.88
2010,34,5.07,18.28,9.54,12.8,8.54,2.85
2010,35,7.66,15.21,7.62,11.4,8.24,4.38
2010,36,0.23,16.99,6.98,10.78,7.32,1.84
2010,37,0.09,20.39,5.98,12.21,5.86,1.29
2010,38,0.0,19.35,5.92,11.62,5.68,2.27
2010,39,7.61,14.7,7.43,10.36,6.77,3.08
2010,40,19.39,10.84,6.62,8.06,6.77,3.77
2010,41,2.75,12.84,5.02,8.33,6.29,2.84
2010,42,13.87,11.4,6.69,8.49,7.26,2.7
2010,43,5.68,16.45,6.19,10.72,7.39,2.71
2010,44,21.03,11.83,6.66,8.8,6.77,3.58
2010,45,2.11,14.86,6.18,9.29,6.65,2.19
2010,46,3.49,9.87,6.93,8.34,6.47,5.34
2010,47,9.91,11.01,6.26,8.34,6.96,5.98
2010,48,5.21,10.8,5.92,7.66,6.77,4.27
2010,49,6.99,13.15,6.77,9.79,7.14,4.98
2010,50,10.24,9.2,4.39,6.71,6.1,5.2
2010,51,1.37,11.28,3.84,6.77,5.31,2.42
2010,52,19.4,11.76,7.0,9.45,7.45,4.87
2010,53,3.78,13.84,8.61,10.58,7.69,4.4
2010,54,6.21,14.72,7.38,10.49,7.57,3.96
2010,55,0.17,18.99,5.58,11.23,6.35,1.76
2010,56,0.0,19.48,6.73,12.44,6.47,2.3
2010,57,0.0,20.58,8.46,13.96,7.51,1.76
2010,58,2.05,24.37,12.55,16.87,8.12,5.35
2010,59,13.92,13.23,7.14,11.23,8.36,3.29
2010,60,0.16,20.01,4.93,11.13,5.62,1.67
2010,61,39.4,15.22,6.82,11.37,8.0,3.66
2010,62,4.82,12.23,5.72,8.41,6.47,5.3
2010,63,1.12,17.39,5.87,10.04,6.23,2.38
2010,64,0.12,19.62,6.85,11.67,6.59,1.99
2010,65,24.19,12.61,7.29,9.69,7.2,3.37
2010,66,13.06,12.67,7.03,9.18,7.2,3.13
2010,67,25.34,13.49,7.72,10.38,7.93,4.52
2010,68,40.46,12.34,7.06,9.89,7.63,5.16
2010,69,7.75,12.49,6.3,8.7,6.71,2.03
2010,70,11.89,13.69,6.15,10.11,7.57,3.04
2010,71,1.92,12.11,4.77,8.75,6.84,2.77
2010,72,0.05,13.0,2.18,6.82,5.19,1.65
2010,73,0.0,15.78,-0.03,7.05,4.09,1.69
2010,74,0.01,17.16,3.49,9.49,4.7,1.88
2010,75,0.0,20.61,5.43,12.4,6.23,2.06
2010,76,0.0,22.68,7.56,15.21,6.65,1.77
2010,77,0.11,23.26,11.39,16.64,7.51,1.59
2010,78,0.04,24.6,11.67,17.37,7.87,1.38
2010,79,0.18,17.11,11.19,13.91,8.48,1.83
2010,80,2.83,21.16,9.62,14.21,6.59,1.23
2010,81,0.0,22.37,8.39,14.67,7.39,1.72
2010,82,0.0,23.37,11.49,16.37,7.26,1.66
2010,83,0.04,19.37,9.74,14.01,8.0,1.84
2010,84,0.0,19.08,6.55,12.26,7.26,2.07
2010,85,0.01,20.59,7.29,12.97,7.2,1.51
2010,86,0.01,22.8,8.25,14.69,7.26,1.29
2010,87,0.0,23.7,10.3,16.23,7.51,2.35
2010,88,0.04,19.81,8.84,13.93,7.39,2.33
2010,89,0.59,17.38,7.41,11.32,7.02,2.18
2010,90,0.07,15.89,5.71,9.61,5.92,1.82
2010,91,0.0,17.04,4.47,9.73,5.68,1.84
2010,92,0.0,18.98,5.54,11.79,6.77,1.59
2010,93,0.0,19.65,7.31,12.3,6.96,1.79
2010,94,0.0,17.76,6.06,11.55,6.84,2.33
2010,95,0.0,22.8,11.39,16.39,8.0,2.46
2010,96,0.32,24.73,11.52,16.7,8.06,1.72
2010,97,0.35,22.25,10.19,15.17,8.3,1.81
2010,98,0.03,26.81,11.03,18.1,8.91,1.72
2010,99,0.52,26.47,13.93,19.41,9.09,1.77
2010,100,0.17,24.8,13.36,18.13,9.28,1.78
2010,101,7.04,22.4,11.56,16.31,8.54,1.98
2010,102,0.09,20.66,7.53,13.73,7.93,2.12
2010,103,0.88,20.71,8.91,13.51,7.81,1.46
2010,104,12.23,21.41,7.36,14.48,7.75,2.11
2010,105,10.16,19.25,10.08,14.14,8.3,1.73
2010,106,7.83,18.0,9.04,13.08,7.75,1.52
2010,107,8.11,15.69,9.26,11.8,7.45,1.7
2010,108,2.77,16.9,8.15,11.89,7.45,2.54
2010,109,0.26,24.19,7.57,15.43,7.51,1.44
2010,110,0.38,25.55,11.1,18.28,8.73,1.23
2010,111,7.07,22.55,12.56,16.9,9.34,2.13
2010,112,4.5,18.1,9.5,13.29,8.3,3.18
2010,113,0.46,21.05,9.82,14.46,8.12,1.71
2010,114,0.52,24.19,9.65,16.03,8.85,1.79
2010,115,2.98,20.73,12.1,15.69,9.46,1.52
2010,116,0.57,27.24,13.55,19.23,9.46,2.91
2010,117,0.0,29.84,14.04,20.97,8.91,2.37
2010,118,0.24,29.5,13.94,21.15,9.34,1.81
2010,119,1.19,28.5,15.97,20.94,11.05,1.81
2010,120,2.51,27.89,14.8,19.45,10.5,2.73
2010,121,0.74,23.42,10.83,16.67,9.09,1.73
2010,122,0.0,25.01,9.61,16.65,7.63,1.51
2010,123,0.02,19.23,6.58,13.34,7.69,2.44
2010,124,0.0,17.96,4.52,10.62,6.16,2.54
2010,125,0.0,20.26,2.79,11.73,5.07,1.77
2010,126,0.01,18.87,7.83,12.33,5.25,1.31
