YEAR,DOY,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M,QV2M,WS2M
2010,1,7.19,14.41,7.53,10.87,7.32,2.76
2010,2,0.03,20.59,6.23,11.93,5.68,1.28
2010,3,0.0,20.34,9.21,13.41,6.71,1.78
2010,4,8.89,18.57,10.02,13.08,7.14,5.27
2010,5,21.81,13.76,9.99,11.56,8.0,6.24
2010,6,6.44,15.69,10.19,11.98,8.0,3.62
2010,7,40.02,12.02,7.62,10.34,7.39,5.83
2010,8,7.82,9.26,1.02,5.65,4.64,3.83
2010,9,1.6,8.51,0.96,4.49,4.58,2.23
2010,10,12.71,10.79,2.27,7.26,5.55,3.84
2010,11,5.69,15.14,8.19,11.08,7.51,4.28
2010,12,2.05,17.99,7.38,12.04,6.84,4.16
2010,13,14.8,17.98,10.94,14.03,9.03,5.65
2010,14,14.47,14.76,7.61,12.82,8.54,3.93
2010,15,0.1,20.4,7.36,12.81,5.31,1.26
2010,16,0.0,22.56,8.84,14.08,5.68,1.55
2010,17,0.0,24.08,10.26,15.92,6.41,1.62
2010,18,0.0,22.73,11.63,15.82,7.14,1.95
2010,19,0.01,19.62,11.67,14.37,7.57,1.5
2010,20,0.04,17.52,10.8,13.07,8.3,1.02
2010,21,0.0,18.26,7.39,11.86,7.08,1.12
2010,22,0.0,19.59,9.34,12.94,6.16,0.91
2010,23,8.53,15.22,9.87,11.71,7.32,4.94
2010,24,26.29,12.75,9.07,10.96,7.81,3.62
2010,25,8.77,13.02,7.6,9.94,6.53,0.72
2010,26,5.17,12.82,6.01,8.97,6.47,2.1
2010,27,0.9,10.18,4.62,7.09,5.49,1.27
2010,28,0.27,16.12,3.65,8.84,5.74,1.89
2010,29,0.22,14.91,3.65,9.02,6.04,2.9
2010,30,1.9,13.83,6.01,9.46,6.77,2.3
2010,31,1.63,14.62,5.52,9.73,6.1,1.11
2010,32,3.68,14.33,7.81,10.43,7.08,0.98
2010,33,0.45,21.96,8.44,14.01,8.06,1.6
2010,34,4.99,21.46,13.05,15.9,9.52,2.38
2010,35,7.27,18.76,9.47,14.51,9.16,5.13
2010,36,0.67,19.28,9.24,13.08,8.24,2.24
2010,37,0.17,20.66,10.14,14.3,7.57,1.14
2010,38,0.0,22.17,9.11,14.37,6.71,2.14
2010,39,7.36,16.14,10.13,12.74,7.75,3.45
2010,40,17.48,14.41,9.75,11.44,7.75,4.43
2010,41,5.56,16.6,9.01,11.81,7.45,3.88
2010,42,12.61,16.26,9.21,12.35,8.12,3.29
2010,43,7.95,19.83,9.25,13.72,8.24,3.09
2010,44,18.35,14.91,9.54,12.1,7.87,3.84
2010,45,1.53,18.4,8.39,12.23,7.51,1.5
2010,46,3.31,14.33,10.41,11.98,7.26,5.2
2010,47,10.68,15.44,9.78,12.08,7.81,6.01
2010,48,4.74,14.3,9.01,11.28,7.57,4.46
2010,49,7.19,17.31,9.23,12.98,7.75,4.7
2010,50,10.14,13.3,8.24,10.56,6.77,5.8
2010,51,2.02,14.15,7.01,10.04,6.29,2.35
2010,52,19.62,14.86,9.54,12.38,8.12,5.15
2010,53,4.63,18.0,10.87,13.84,8.42,4.55
2010,54,5.66,18.74,10.8,14.09,8.42,4.56
2010,55,0.2,21.3,8.79,14.15,7.63,2.17
2010,56,0.01,22.62,9.76,15.07,7.45,2.45
2010,57,0.01,23.1,11.4,16.66,8.24,1.38
2010,58,2.43,28.17,14.77,19.84,8.85,6.1
2010,59,10.49,16.59,9.95,13.64,8.73,3.23
2010,60,0.1,20.12,7.14,12.73,6.59,2.05
2010,61,47.07,18.59,9.97,14.26,8.73,3.63
2010,62,3.81,16.01,8.58,11.83,7.08,5.53
2010,63,1.91,19.19,9.08,12.77,7.32,2.98
2010,64,0.03,22.55,9.65,14.47,7.39,1.87
2010,65,21.46,17.05,10.69,13.19,8.18,3.38
2010,66,12.81,15.51,10.24,12.26,8.12,3.33
2010,67,33.23,15.83,10.62,13.37,8.97,5.26
2010,68,33.59,15.24,8.01,12.41,8.36,5.47
2010,69,3.51,16.26,6.33,10.92,6.71,1.67
2010,70,10.55,17.25,8.23,12.73,8.18,2.78
2010,71,1.72,15.55,7.82,11.76,7.32,3.25
2010,72,0.1,16.19,5.88,10.06,5.8,1.9
2010,73,0.0,17.31,3.44,9.69,5.07,1.61
2010,74,0.0,20.85,5.9,12.44,5.55,1.55
2010,75,0.0,23.37,8.02,14.79,6.47,1.98
2010,76,0.0,26.76,9.85,18.56,7.26,1.52
2010,77,0.06,27.22,14.76,19.92,8.73,1.63
2010,78,0.03,28.55,15.19,20.23,9.03,1.38
2010,79,1.05,20.65,15.15,17.4,9.89,1.29
2010,80,4.04,24.09,13.23,17.2,8.42,1.45
2010,81,0.0,24.22,11.37,17.28,8.67,1.79
2010,82,0.0,26.69,13.26,18.8,8.18,1.32
2010,83,0.04,20.87,11.4,15.53,8.97,1.98
2010,84,0.01,20.69,9.51,14.42,8.12,2.36
2010,85,0.01,22.11,10.64,15.05,8.24,1.65
2010,86,0.01,23.06,9.9,15.33,7.87,1.26
2010,87,0.0,25.53,11.33,17.33,8.48,2.21
2010,88,0.1,21.16,10.76,15.02,8.36,2.66
2010,89,0.81,19.6,9.22,13.5,7.81,2.57
2010,90,0.03,16.85,7.17,11.55,6.35,1.63
2010,91,0.0,18.96,6.58,11.66,6.47,1.43
2010,92,0.0,20.9,7.54,13.42,7.08,1.35
2010,93,0.0,21.35,7.98,13.49,7.26,2.34
2010,94,0.0,18.97,9.29,13.37,7.2,2.34
2010,95,0.0,26.55,11.92,18.55,9.03,1.45
2010,96,0.07,25.44,12.66,18.02,9.16,1.73
2010,97,0.51,24.55,12.67,17.26,9.28,1.45
2010,98,0.0,28.05,12.19,18.98,9.16,2.81
2010,99,0.21,27.11,14.33,19.23,9.28,2.84
2010,100,0.12,26.84,13.96,19.8,10.01,1.34
